epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,234.878,1.2761,2.43672,1.19255,1.37804,1,0.78926,0.87086,0.78411,0.98044,0.7,0.76298,0.47333,0.57584,2.20803,1.71728,0.90088,0.000437322,0.000437322,0.000437322
71,238.1,0.8483,0.73302,1.26407,1.12131,1,0.78926,0.87086,0.78411,0.98044,0.7,0.76298,0.47333,0.57584,2.20803,1.71728,0.90088,0.0004298,0.0004298,0.0004298
72,241.381,0.68487,1.05222,1.12031,1.08757,0.9947,0.8,0.89955,0.7951,0.98149,0.7,0.76901,0.47734,0.612,2.02934,1.71402,0.96555,0.000421882,0.000421882,0.000421882
73,244.572,0.76388,1.23505,1.24121,1.04296,0.9947,0.8,0.89955,0.7951,0.98149,0.7,0.76901,0.47734,0.612,2.02934,1.71402,0.96555,0.000413568,0.000413568,0.000413568
74,247.833,1.1183,1.37403,1.14905,1.20728,0.9947,0.8,0.89955,0.7951,0.98149,0.7,0.76901,0.47734,0.612,2.02934,1.71402,0.96555,0.000404858,0.000404858,0.000404858
75,251.153,0.84283,1.52154,0.94402,1.08774,1,0.86261,0.89852,0.78485,1,0.86261,0.89603,0.50966,0.71578,2.06311,1.69804,1.04637,0.000395752,0.000395752,0.000395752
76,254.364,0.99175,1.51876,1.09876,1.20142,1,0.86261,0.89852,0.78485,1,0.86261,0.89603,0.50966,0.71578,2.06311,1.69804,1.04637,0.00038625,0.00038625,0.00038625
77,257.607,0.75217,1.56532,1.02167,1.07389,1,0.86261,0.89852,0.78485,1,0.86261,0.89603,0.50966,0.71578,2.06311,1.69804,1.04637,0.000376352,0.000376352,0.000376352
78,260.922,0.96727,1.51541,1.14524,1.21063,0.97041,0.8,0.88866,0.77222,0.84571,0.7,0.72863,0.38284,0.79302,3.37417,1.68331,1.08233,0.000366058,0.000366058,0.000366058
79,264.154,1.01132,1.95706,1.09284,1.25505,0.97041,0.8,0.88866,0.77222,0.84571,0.7,0.72863,0.38284,0.79302,3.37417,1.68331,1.08233,0.000355368,0.000355368,0.000355368
80,267.447,0.77416,1.556,0.97006,1.14011,0.97041,0.8,0.88866,0.77222,0.84571,0.7,0.72863,0.38284,0.79302,3.37417,1.68331,1.08233,0.000344282,0.000344282,0.000344282
81,270.75,0.90521,1.38309,1.23332,1.15211,1,0.87127,0.89978,0.74447,0.77213,0.67967,0.69211,0.39758,0.83303,3.2811,1.66956,1.12602,0.0003328,0.0003328,0.0003328
82,273.99,0.97133,1.66371,0.97187,1.21068,1,0.87127,0.89978,0.74447,0.77213,0.67967,0.69211,0.39758,0.83303,3.2811,1.66956,1.12602,0.000320922,0.000320922,0.000320922
83,281.148,0.84709,2.01956,1.16207,1.14341,1,0.87127,0.89978,0.74447,0.77213,0.67967,0.69211,0.39758,0.83303,3.2811,1.66956,1.12602,0.000308648,0.000308648,0.000308648
84,284.855,0.82052,0.2989,1.17765,0.96009,1,0.87613,0.90471,0.74642,0.886,0.77923,0.77002,0.45805,0.80628,2.32358,1.64774,1.07392,0.000295978,0.000295978,0.000295978
85,288.186,0.82414,1.27444,1.01908,1.09175,1,0.87613,0.90471,0.74642,0.886,0.77923,0.77002,0.45805,0.80628,2.32358,1.64774,1.07392,0.000282912,0.000282912,0.000282912
86,291.603,0.92903,1.25642,0.96147,1.10338,1,0.87613,0.90471,0.74642,0.886,0.77923,0.77002,0.45805,0.80628,2.32358,1.64774,1.07392,0.00026945,0.00026945,0.00026945
87,294.88,0.87813,1.22573,1.23936,1.19764,1,0.87613,0.90471,0.74642,0.886,0.77923,0.77002,0.45805,0.80628,2.32358,1.64774,1.07392,0.000255592,0.000255592,0.000255592
88,298.204,0.87136,1.61519,1.10495,1.16576,1,0.86398,0.91113,0.77324,1,0.86398,0.91113,0.56972,0.7017,1.55969,1.56918,1.04059,0.000241338,0.000241338,0.000241338
89,301.511,0.91132,2.38568,1.08529,1.11503,1,0.86398,0.91113,0.77324,1,0.86398,0.91113,0.56972,0.7017,1.55969,1.56918,1.04059,0.000226688,0.000226688,0.000226688
90,304.779,0.80192,1.60371,0.95866,1.09034,1,0.86398,0.91113,0.77324,1,0.86398,0.91113,0.56972,0.7017,1.55969,1.56918,1.04059,0.000211642,0.000211642,0.000211642
91,308.197,0.47499,1.21491,1.28378,0.99456,1,0.86398,0.91113,0.77324,1,0.86398,0.91113,0.56972,0.7017,1.55969,1.56918,1.04059,0.0001962,0.0001962,0.0001962
92,311.755,0.56811,1.34493,1.17485,0.91656,0.94869,0.9,0.98591,0.79394,0.94869,0.9,0.98591,0.59561,0.7292,1.36045,1.50687,1.01777,0.000180362,0.000180362,0.000180362
93,315.079,0.64962,1.41906,1.23098,1.02188,0.94869,0.9,0.98591,0.79394,0.94869,0.9,0.98591,0.59561,0.7292,1.36045,1.50687,1.01777,0.000164128,0.000164128,0.000164128
94,318.326,0.52766,1.53983,1.09178,0.93796,0.94869,0.9,0.98591,0.79394,0.94869,0.9,0.98591,0.59561,0.7292,1.36045,1.50687,1.01777,0.000147498,0.000147498,0.000147498
95,321.513,0.51611,1.59352,1.49998,0.98082,0.94869,0.9,0.98591,0.79394,0.94869,0.9,0.98591,0.59561,0.7292,1.36045,1.50687,1.01777,0.000130472,0.000130472,0.000130472
96,324.792,0.69363,1.3338,1.78433,1.14448,0.97923,0.9,0.98591,0.82139,0.97923,0.9,0.98591,0.62205,0.6844,1.35923,1.40973,0.94652,0.00011305,0.00011305,0.00011305
97,327.991,0.53727,1.60584,1.38988,1.04076,0.97923,0.9,0.98591,0.82139,0.97923,0.9,0.98591,0.62205,0.6844,1.35923,1.40973,0.94652,9.5232e-05,9.5232e-05,9.5232e-05
98,331.208,0.60449,1.89575,1.12394,0.95946,0.97923,0.9,0.98591,0.82139,0.97923,0.9,0.98591,0.62205,0.6844,1.35923,1.40973,0.94652,7.7018e-05,7.7018e-05,7.7018e-05
99,334.421,0.52737,1.43792,1.30072,0.96182,0.97923,0.9,0.98591,0.82139,0.97923,0.9,0.98591,0.62205,0.6844,1.35923,1.40973,0.94652,5.8408e-05,5.8408e-05,5.8408e-05
100,337.676,0.58906,1.66007,1.58003,0.96124,0.96859,0.9,0.98591,0.85438,0.96859,0.9,0.98591,0.64218,0.57528,1.41764,1.32401,0.87463,3.9402e-05,3.9402e-05,3.9402e-05
